date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,BRL,HUF,MXN,EUR,JPY,CAD,CLP
2014-02-07,1.69,1.5784,-0.7199999999999998,-3.95,-1.2527,-18.05,-0.6158000000000001,-1.1988999999999999,-2.0893,4.880800000000001,2.4416,-1.5320000000000005,-0.5379,-1.3434,-0.41979999999999995,1.3900000000000001
2014-02-14,1.5,0.4256,-1.8399999999999999,-6.28,-1.5184,-18.64,-1.2220999999999997,-1.2075,-2.5164999999999997,5.401199999999999,2.6311,-1.5269000000000004,-0.5501,-1.3504999999999998,-0.39149999999999996,1.8000000000000003
2014-02-21,1.4099999999999997,1.1149000000000002,-2.33,-3.72,-0.9672000000000001,-9.870000000000001,-1.0034999999999998,-1.2082,-1.0119,4.591800000000001,2.542,-1.4867000000000004,-0.5488000000000001,-1.3471,-0.4154,1.4
2014-02-28,1.3199999999999998,0.9481000000000002,2.62,-2.08,-0.1984999999999999,-7.16,-0.5699000000000001,-0.17500000000000002,-0.7835,5.085700000000001,2.2551,-1.2314000000000003,-0.44249999999999995,-1.4446,-0.00019999999999997797,1.1099999999999999
2014-03-07,1.42,1.6503,-1.21,-3.47,-0.605,-6.35,-1.1046,-0.20290000000000002,-0.8885,5.6776,2.2772,-1.2205000000000004,-0.39869999999999994,-1.4432,-0.026100000000000012,0.9499999999999997
2014-03-14,1.2400000000000002,1.6526999999999998,0.9300000000000006,-2.33,-0.562,-6.25,-0.9036,-0.20010000000000003,0.6659,4.4131,2.5816,-1.1250000000000004,-0.43299999999999994,-1.457,-0.00770000000000004,0.6400000000000001
2014-03-21,1.3399999999999999,0.8683999999999998,1.3600000000000003,-0.71,-0.8868,-3.25,-0.8677999999999999,-0.18240000000000003,1.4294,5.984300000000001,2.2043,-1.1636000000000006,-0.39729999999999993,-1.4671,-0.03080000000000016,0.6699999999999995
2014-03-28,1.1400000000000001,0.6789000000000001,-0.7400000000000002,-4.04,-0.9549000000000001,-5.5600000000000005,-1.2570999999999999,-0.17510000000000003,-1.0741,5.7544,2.094,-1.1799000000000004,-0.3949,-1.4581,-0.010600000000000165,0.6599999999999997
2014-04-04,0.6699999999999999,0.7336999999999998,2.6500000000000004,-2.27,-0.9629999999999999,-1.9500000000000002,-1.112,-0.9864999999999999,-2.9844,5.9186,2.2815,-0.7637999999999998,-0.1543,-1.5638,-0.391,0.5800000000000005
2014-04-11,0.5700000000000001,0.5143999999999997,2.3000000000000007,-2.3600000000000003,-0.9849999999999999,-0.8900000000000006,-0.8170999999999999,-1.007,-3.2008,6.045,2.2742999999999998,-0.5902999999999996,-0.17670000000000002,-1.5773000000000001,-0.39470000000000005,0.5800000000000005
2014-04-18,0.5999999999999999,0.05370000000000008,1.3100000000000005,-5.42,-0.9172,-2.5200000000000005,-1.1495000000000002,-0.9934,-1.9854,5.3772,2.1542,-0.6094999999999997,-0.2077,-1.5732000000000002,-0.3902000000000001,0.8900000000000001
2014-04-25,0.7099999999999997,-0.26660000000000017,0.7100000000000009,-2.67,-0.8018999999999998,-4.11,-1.1114000000000002,-0.9678,-0.9788000000000001,5.6447,2.2314,-0.5168999999999997,-0.1341,-1.5813000000000001,-0.4180999999999999,0.52
2014-05-02,0.75,-0.1856,-1.5700000000000003,-2.72,-0.2558,-2.59,-1.1982999999999997,-2.0694,-1.8145,5.953,2.2344,-0.3309000000000002,-0.38209999999999994,-3.3956999999999997,-0.9279999999999999,-0.5099999999999998
2014-05-09,0.71,0.48030000000000017,-3.6000000000000005,-7.050000000000001,-0.4021000000000001,-3.75,-1.3247,-2.0705,-2.9856,5.5119,2.2056,-0.2896000000000001,-0.33609999999999995,-3.3965,-0.9221999999999999,-0.46999999999999975
2014-05-16,0.56,0.32630000000000026,-0.5800000000000001,-2.7,0.1057999999999999,-6.38,-1.2740999999999998,-2.0728999999999997,-2.5896,5.0955,2.2572,-0.3435999999999999,-0.3802,-3.4083,-0.8769,-0.34999999999999964
2014-05-23,0.5099999999999998,0.39469999999999983,-4.76,-4.22,0.7114999999999998,-5.96,-1.5834,-2.0721999999999996,-1.8084,5.1321,2.1368,-0.31590000000000007,-0.38079999999999997,-3.4111,-0.8724000000000001,-0.47999999999999954
2014-05-30,0.6400000000000001,0.17910000000000004,-3.7,-3.1100000000000003,0.5910999999999997,-4.26,-1.6315,-2.0616999999999996,-2.2912999999999997,5.321599999999999,1.9485000000000001,-0.4146000000000001,-0.40219999999999995,-3.399,-0.8889,-0.8499999999999996
2014-06-06,-0.53,-0.39149999999999974,-4.890000000000001,-3.89,-0.17539999999999978,-4.59,-1.0454000000000003,-2.0846999999999998,-2.6022,5.6421,2.0194,-0.7774999999999999,-0.3025,-3.6935000000000002,-1.1684999999999999,-1.0
2014-06-13,0.17000000000000015,-1.2940999999999998,-4.1,-3.75,0.5626000000000002,-4.95,-0.8302,-2.0778,-2.601,5.2807,1.9104,-0.9008999999999996,-0.427,-3.689,-1.1896999999999998,-1.25
2014-06-20,0.13000000000000012,-0.7925,-3.5300000000000002,-5.95,0.9394999999999998,-3.6300000000000003,-1.2245000000000001,-2.0646999999999998,-2.3995,5.0371,1.8511000000000002,-1.0688999999999997,-0.3687,-3.6892,-1.1644999999999999,-0.9199999999999999
2014-06-27,0.13000000000000012,-0.9917999999999998,-2.5600000000000005,-3.2800000000000002,0.3199000000000001,0.7099999999999991,-1.4306,-2.0667999999999997,-2.7593,5.2497,1.6959000000000002,-0.8289999999999997,-0.3951,-3.6979,-1.174,-1.1399999999999997
2014-07-04,0.1200000000000001,-1.0223,-3.1199999999999997,-3.48,0.9089,-1.08,-1.3344999999999998,-1.6702,-1.5908,5.2179,2.0235,-1.0305,-0.4082,-3.6105,-1.2796999999999998,-0.45999999999999996
2014-07-11,0.13000000000000012,-1.3804,-0.7399999999999993,-4.34,0.8823000000000003,-1.12,-1.3891999999999998,-1.6844999999999999,-0.41069999999999984,4.7104,1.9180000000000001,-0.9548999999999999,-0.41359999999999997,-3.5906000000000002,-1.2715999999999998,-0.8899999999999997
2014-07-18,0.32000000000000006,-0.8328,-2.4399999999999995,-2.92,0.9912000000000001,-2.3200000000000003,-0.9385999999999997,-1.6603999999999999,-1.003,4.823400000000001,1.8495000000000001,-0.8353999999999999,-0.4049,-3.6098,-1.2978999999999998,-0.5
2014-07-25,0.32999999999999985,-1.3547000000000002,-2.7199999999999998,-3.57,0.7022000000000004,-2.6100000000000003,-0.9831999999999996,-1.6778,-2.3742,4.472000000000001,2.1263,-0.9312999999999998,-0.38480000000000003,-3.5923000000000003,-1.2848,-0.7699999999999996
2014-08-01,0.6499999999999999,-0.26970000000000005,0.4300000000000006,0.10999999999999943,0.9199000000000002,6.3,-0.02839999999999998,-1.0397,-0.3328,4.7141,1.5708,-1.1906000000000003,-0.27990000000000004,-3.3826,-1.0238,-0.46000000000000085
