date,BRL,MXN,CLP,HUF,JPY,EUR,CAD,CNH,KRW,INR,IDR,PHP,THB,TWD,SGD,MYR
2016-01-29,9.97,1.43,3.6899999999999995,0.20000000000000007,-0.49999999999999994,-0.49999999999999994,0.9000000000000001,0.9000000000000001,0.40000000000000013,4.91,2.6500000000000004,0.0,-1.56,-0.57,-1.2999999999999998,2.0
2016-02-05,9.31,1.21,3.39,-0.4999999999999999,-1.5,-1.0999999999999999,0.6000000000000001,0.40000000000000013,-0.7999999999999999,4.290000000000001,2.7399999999999998,-0.7,-1.94,-0.5999999999999999,-2.0,2.1
2016-02-12,9.31,1.21,3.39,-0.4999999999999999,-1.5,-1.0999999999999999,0.6000000000000001,0.40000000000000013,-0.7999999999999999,4.290000000000001,2.7399999999999998,-0.7,-1.94,-0.5999999999999999,-2.0,2.1
2016-02-19,9.31,1.21,3.39,-0.4999999999999999,-1.5,-1.0999999999999999,0.6000000000000001,0.40000000000000013,-0.7999999999999999,4.290000000000001,2.7399999999999998,-0.7,-1.94,-0.5999999999999999,-2.0,2.1
2016-02-26,9.31,1.21,3.39,-0.4999999999999999,-1.5,-1.0999999999999999,0.6000000000000001,0.40000000000000013,-0.7999999999999999,4.290000000000001,2.7399999999999998,-0.7,-1.94,-0.5999999999999999,-2.0,2.1
2016-03-04,9.36,1.87,3.71,-0.7,-0.8,-1.1,0.3999999999999999,1.2999999999999998,0.10000000000000009,4.26,3.42,-0.5,-1.5,1.4100000000000001,-1.8,3.2
2016-03-11,9.36,1.87,3.71,-0.7,-0.8,-1.1,0.3999999999999999,1.2999999999999998,0.10000000000000009,4.26,3.42,-0.5,-1.5,1.4100000000000001,-1.8,3.2
2016-03-18,9.36,1.87,3.71,-0.7,-0.8,-1.1,0.3999999999999999,1.2999999999999998,0.10000000000000009,4.26,3.42,-0.5,-1.5,1.4100000000000001,-1.8,3.2
2016-03-25,9.36,1.87,3.71,-0.7,-0.8,-1.1,0.3999999999999999,1.2999999999999998,0.10000000000000009,4.26,3.42,-0.5,-1.5,1.4100000000000001,-1.8,3.2
2016-04-01,8.49,1.7000000000000002,3.5500000000000003,-1.1,-0.9,-0.9,0.4,1.4,-0.09999999999999998,3.93,3.5500000000000003,-0.30000000000000004,-1.36,1.1099999999999999,-1.9,1.7000000000000002
