date,KR_SEMI_EXPORT_PX
2025-01-24,81.5
2025-01-31,79.0
2025-02-07,79.0
2025-02-14,79.0
2025-02-21,79.0
2025-02-28,77.4
2025-03-07,77.4
2025-03-14,77.4
2025-03-21,77.4
2025-03-28,77.4
2025-04-04,78.4
2025-04-11,78.4
2025-04-18,78.4
2025-04-25,78.4
2025-05-02,80.2
2025-05-09,80.2
2025-05-16,80.2
2025-05-23,80.2
2025-05-30,80.2
2025-06-06,81.9
2025-06-13,81.9
2025-06-20,81.9
2025-06-27,81.9
2025-07-04,82.0
2025-07-11,82.0
2025-07-18,82.0
2025-07-25,82.0
2025-08-01,86.1
2025-08-08,86.1
2025-08-15,86.1
2025-08-22,86.1
2025-08-29,86.1
2025-09-05,86.2
2025-09-12,86.2
2025-09-19,86.2
2025-09-26,86.2
2025-10-03,87.5
2025-10-10,87.5
2025-10-17,87.5
2025-10-24,87.5
2025-10-31,101.2
2025-11-07,101.2
2025-11-14,101.2
2025-11-21,101.2
2025-11-28,101.2
2025-12-05,110.1
2025-12-12,110.1
2025-12-19,110.1
2025-12-26,110.1
2026-01-02,112.4
2026-01-09,112.4
2026-01-16,112.4
2026-01-23,112.4
2026-01-30,112.4
2026-02-06,137.1
2026-02-13,137.1
2026-02-20,137.1
2026-02-27,137.1
2026-03-06,144.9
2026-03-13,144.9
2026-03-20,144.9
2026-03-27,144.9
2026-04-03,170.0
2026-04-10,170.0
2026-04-17,170.0
2026-04-24,170.0
2026-05-01,199.0
2026-05-08,199.0
2026-05-15,199.0
2026-05-22,199.0
2026-05-29,199.0
2026-06-05,215.7
2026-06-12,215.7
2026-06-19,215.7
2026-06-26,215.7
