date,CNH,IDR,INR,MYR,PHP,SGD,THB,TWD,KRW
2012-08-24,3.23621,5.49687,8.08341,,0.899849,0.028777,2.64182,-0.119994,2.407
2012-08-31,4.33338,5.20243,7.69404,,1.26214,0.028788,2.51661,-0.100118,2.24375
2012-09-07,2.48752,5.18993,7.52239,,0.64972,0.019355,2.60504,-0.100537,2.14412
2012-09-14,3.1292,4.70542,6.89815,,0.072462,0.019647,2.58371,-0.081472,2.11503
2012-09-21,3.57287,4.61484,6.84311,,0.751496,0.0,2.77658,-0.081791,2.00147
2012-09-28,3.58013,4.93058,8.02738,,0.73602,0.029398,2.64402,-0.040929,1.96086
2012-10-05,3.43356,4.92585,7.9638,,0.959679,0.009774,2.79226,-0.061446,1.96099
2012-10-12,2.81046,5.45688,7.3959,,0.799148,0.0,2.73381,-0.061563,2.01614
2012-10-19,3.56871,4.92401,7.15092,,0.290205,-0.049185,2.63314,-0.06152,2.03067
2012-10-26,3.32069,4.91746,7.39348,,0.422891,0.00982,2.56628,-0.082002,1.87564
2012-11-02,3.31812,4.65171,7.44027,,0.467073,0.039279,2.36987,-0.143552,1.99813
2012-11-09,2.72932,4.38944,7.53811,,0.336653,0.019617,2.3338,-0.10323,1.89164
2012-11-16,2.28291,4.19165,7.01355,,0.874311,0.078217,2.2878,-0.102681,1.60476
2012-11-23,1.84588,4.10113,6.74209,,0.409875,0.088206,2.22876,-0.102961,1.61365
2012-11-30,3.01453,4.14186,7.21718,,-1.02232,0.00983,2.17079,-0.082574,1.78758
2012-12-07,3.24563,4.51927,7.35721,,-0.219586,-0.054036,2.33226,-0.082565,1.78958
2012-12-14,3.81713,4.1817,7.50207,,-0.291651,0.083519,2.1355,-0.082606,1.68772
2012-12-21,2.72499,4.24291,8.05993,,-1.01799,0.127939,2.2761,-0.123854,2.14302
2012-12-28,2.66329,4.57574,7.98819,,-1.30717,0.103053,2.25685,-0.10326,2.49403
2013-01-04,1.74204,4.24179,7.09407,,-0.58515,0.083016,2.22677,-0.124057,2.33747
2013-01-11,2.48143,4.18833,7.54677,,-2.30973,0.073446,2.46507,-0.124271,2.29941
2013-01-18,2.02518,3.99663,7.71486,,-0.368924,0.063622,2.42369,-0.124284,2.35177
2013-01-25,1.8605,3.85836,7.5697,,-0.221069,0.048831,2.33344,-0.144064,2.31405
2013-02-01,3.03502,3.76132,6.96796,,0.339552,0.057993,2.13325,-0.202477,2.09773
