date,KRW,THB,IDR,PHP,CNH,MYR,SGD,TWD,EUR,CAD,JPY,CLP,PLN,BRL,HUF,MXN
2020-04-10,0.04801999999999995,0.29211999999999994,1.4317199999999997,0.1055200000000005,0.66462,0.6948199999999998,0.02742000000000011,-0.33188,-0.02038000000000001,-0.15787999999999996,-0.31456943000000004,,0.31942000000000004,0.4074199999999999,0.56752,-0.79268
2020-04-17,0.053755999999999915,0.274756,1.4249560000000003,-0.15284399999999987,0.765756,0.3413559999999999,0.06745599999999996,-0.3040439999999999,-0.06354400000000004,-0.17204399999999997,-0.2647366,,0.39435600000000004,0.4504560000000001,0.580256,-0.8745440000000001
2020-04-24,0.24572499999999997,0.27832499999999993,1.4259250000000003,0.07272499999999982,0.8891249999999998,0.3463250000000003,0.22762499999999997,-0.233275,0.02652499999999991,-0.10917500000000002,-0.22977570000000003,,0.490625,0.05062499999999981,0.7491249999999999,-0.8096749999999998
2020-05-01,0.18544199999999994,0.18534199999999995,1.392241999999999,-0.028958000000000206,0.8628420000000001,0.30944199999999983,0.12194200000000005,-0.278658,-0.10235800000000006,-0.20895800000000003,-0.2811756,,0.545542,0.24524200000000024,0.281742,-0.3907579999999999
2020-05-08,0.09665500000000005,0.045255000000000045,1.3784550000000004,-0.10074500000000008,0.8324550000000002,0.23215500000000033,0.02495500000000006,-0.37324499999999994,-0.144445,-0.19944499999999998,-0.35442957899999994,,0.5103550000000001,0.4112549999999999,0.27635500000000013,0.009954999999999936
2020-05-15,0.09830000000000005,0.14080000000000004,1.3411000000000006,-0.03939999999999988,0.9170000000000003,0.4071,0.08209999999999995,-0.3414,-0.14109999999999995,-0.19039999999999996,-0.3172502165397543,,0.3467,0.6445999999999998,0.39979999999999993,-0.018899999999999695
2020-05-22,0.07724699999999995,0.18144700000000002,1.3004470000000001,0.046346999999999916,0.8014470000000002,0.398647,0.084847,-0.3140529999999999,-0.1277529999999999,-0.2396529999999999,-0.3041678069999999,,0.36484700000000014,0.6504470000000002,0.49554699999999996,0.053647
2020-05-29,0.1441840000000001,0.2631840000000001,1.163584,0.12478400000000023,0.6336840000000001,0.3695839999999999,0.12138400000000005,-0.30421599999999993,-0.12991599999999992,-0.202316,-0.31159633,,0.508084,0.7493840000000003,0.5340839999999998,-0.037416000000000116
2020-06-05,-0.031696999999999975,0.12490299999999988,0.7907030000000002,0.08120299999999991,0.20050299999999988,0.21930299999999958,-0.0031970000000001164,-0.498097,-0.21629700000000007,-0.2603970000000001,-0.47915530000000006,,0.4768030000000001,0.6118029999999997,0.6401030000000001,0.014402999999999944
2020-06-12,0.12364500000000012,0.3014450000000001,1.082345,0.290945,0.25324499999999994,0.43564499999999984,0.174045,-0.311455,-0.12135499999999994,-0.20655499999999993,-0.33050189999999996,1.289245,0.5848450000000001,0.6672450000000001,0.815345,0.16044500000000017
2020-06-19,0.12626199999999987,0.342062,1.190962,0.23956200000000005,0.2377619999999998,0.4479620000000002,0.11686200000000002,-0.29443800000000003,-0.1455380000000001,-0.21293800000000007,-0.32928530000000006,1.2925619999999998,0.6687620000000001,0.5992620000000002,0.9145619999999999,0.12166199999999971
2020-06-26,0.13596799999999992,0.38386800000000004,1.3861680000000005,0.058268000000000375,0.2706680000000001,0.5051679999999998,0.173668,-0.287932,-0.128932,-0.193432,-0.304384,1.225068,0.759668,0.6475680000000001,1.0150679999999999,0.4698680000000001
2020-07-03,0.1303970000000001,0.402497,1.424597,0.19759700000000002,0.26989699999999983,0.4860970000000002,0.169697,-0.335603,-0.15020299999999998,-0.1963029999999999,-0.34179859999999995,1.2176970000000003,0.7069970000000001,0.6043969999999999,1.0671969999999997,0.46029699999999996
2020-07-10,0.1794500000000001,0.44275,1.4151500000000001,0.2620499999999998,0.18395000000000017,0.4859500000000002,0.24814999999999998,-0.28775,-0.15175,-0.16325,-0.30984809999999996,1.38925,0.7410500000000001,0.6407499999999998,1.1630500000000001,0.7633499999999999
2020-07-17,0.141737,0.370537,1.4656370000000003,0.1903370000000002,0.19493700000000014,0.4713370000000001,0.16093699999999989,-0.27676300000000004,-0.13776300000000002,-0.178763,-0.3121717,1.638637,0.728537,0.6395369999999998,1.174637,0.8088369999999998
2020-07-24,0.15369699999999992,0.412097,1.5914970000000004,0.3151969999999999,0.219497,0.45459699999999986,0.17029699999999987,-0.24790300000000004,-0.10220300000000004,-0.16630300000000003,-0.27524840000000006,1.701997,0.7952969999999999,,1.0069969999999997,0.9767970000000004
2020-07-31,0.15758299999999992,0.4035829999999999,1.712983,0.3055829999999998,0.27948300000000026,0.47088299999999983,0.15328299999999995,-0.21751700000000007,-0.11751699999999998,-0.167717,-0.25704330000000003,2.332483,0.704883,0.7453829999999998,1.010583,1.013283
2020-08-07,0.17959399999999992,0.3721939999999998,1.8364939999999992,0.2470939999999998,0.22399399999999992,0.41709399999999996,0.1535939999999999,-0.2243060000000001,-0.1402060000000001,-0.1670060000000001,-0.28063610000000005,2.2036939999999996,0.705394,0.6754939999999997,0.9464939999999998,0.9520939999999999
2020-08-14,0.10431099999999993,0.3277110000000001,1.9083110000000005,0.13931099999999996,0.030510999999999955,0.364911,0.073411,-0.369389,-0.20048899999999997,-0.18588900000000003,-0.3763361,1.9812110000000003,0.5816109999999999,0.5577109999999998,0.963411,0.7253109999999998
2020-08-21,0.15327299999999988,0.40147299999999986,2.107473,0.13367299999999982,0.06227299999999969,0.4181729999999998,0.14357299999999995,-0.302327,-0.17912699999999998,-0.17932700000000001,-0.330255,2.175173,0.670073,0.603473,1.037573,0.8388729999999999
2020-08-28,0.09525800000000006,0.34935800000000006,1.9903580000000005,0.08365800000000012,-0.06764199999999987,0.43635800000000013,0.11145800000000006,-0.403342,-0.21794199999999997,-0.184442,-0.40526029999999996,1.8313580000000003,0.6767579999999999,0.6220580000000001,0.9286579999999999,0.9350579999999998
2020-09-04,0.13710400000000011,0.36850399999999994,2.1095039999999994,0.14200400000000013,-0.0702959999999998,0.46120399999999984,0.133004,-0.376196,-0.23569600000000002,-0.18729600000000002,-0.3887159,1.5990039999999999,0.7143039999999999,0.6417039999999999,0.9432039999999998,0.8180039999999998
2020-09-11,0.15979299999999985,0.33339300000000005,2.1730929999999997,0.22629300000000008,-0.027106999999999992,0.45139299999999993,0.15789299999999995,-0.3438070000000001,-0.21990700000000013,-0.19320700000000007,-0.3634458000000001,1.652193,0.731193,0.5927930000000001,0.962793,0.821493
2020-09-18,0.14048799999999995,0.27758799999999995,2.045888,0.23798799999999998,0.017988000000000226,0.457788,0.10308799999999996,-0.360512,-0.25121200000000005,-0.18041199999999996,-0.3832816,1.6553880000000003,0.7138880000000002,0.517888,0.888488,0.7292879999999998
2020-09-25,0.128903,0.2873030000000001,2.0445030000000006,0.34510299999999994,0.016402999999999945,0.49220300000000017,0.089503,-0.296297,-0.24849699999999997,-0.18489699999999992,-0.34889689999999995,1.6916030000000002,0.7107030000000001,0.6296029999999999,0.7174029999999998,0.8304029999999998
2020-10-02,0.10382499999999995,0.24782499999999996,1.8176250000000003,0.19202500000000033,-0.03177499999999989,0.46062500000000006,0.08302500000000002,-0.33507499999999996,-0.27937500000000004,-0.17807500000000004,-0.3919157,1.6107250000000002,0.6882250000000001,0.5736249999999996,0.6106250000000002,0.9987250000000001
2020-10-09,0.1122599999999998,0.21055999999999986,1.76576,0.24875999999999965,-0.06064000000000003,0.45736,0.05905999999999989,-0.3963400000000001,-0.33404000000000017,-0.1642400000000001,-0.4546702000000001,1.6282599999999998,0.61016,0.6413599999999999,0.5129600000000001,0.9512599999999998
2020-10-16,0.09389400000000003,0.2403940000000001,1.855594,0.2502939999999997,-0.055606000000000155,0.462894,0.06959400000000004,-0.406306,-0.340906,-0.175906,-0.4276111,1.6879940000000002,0.5746940000000001,0.5218940000000004,0.5592939999999998,0.9737939999999997
2020-10-23,0.012360999999999844,0.1812609999999999,1.7885609999999996,0.15716099999999988,-0.19133900000000015,0.4174610000000001,-0.05943900000000002,-0.5033390000000001,-0.385739,-0.20413900000000007,-0.5066461000000001,1.650061,0.4826609999999998,0.39906099999999967,0.579361,1.024361
2020-10-30,0.010964999999999892,0.165265,1.7881649999999993,0.1993649999999999,-0.22233500000000006,0.4303650000000002,-0.110035,-0.527935,-0.43203500000000006,-0.2266350000000001,-0.5214289000000001,1.6494649999999997,0.41336499999999987,0.2935650000000002,0.507065,1.0170649999999997
2020-11-06,0.06360500000000002,0.16190499999999997,1.7171050000000005,0.28320500000000015,-0.2041949999999999,0.42600499999999997,-0.11329500000000003,-0.511295,-0.398295,-0.21049500000000004,-0.4894811,1.943705,0.4428050000000001,0.31640500000000005,0.49790500000000004,0.8096049999999999
2020-11-13,0.0916309999999998,0.17873099999999986,1.6295309999999994,0.2456309999999997,-0.2841690000000001,0.3804310000000002,-0.024169000000000107,-0.553069,-0.4263690000000001,-0.19286900000000007,-0.5337207,1.938131,0.4234309999999999,0.26953099999999997,0.563531,0.6173310000000001
2020-11-20,0.10986000000000007,0.20506000000000002,1.6619600000000005,0.31376000000000026,-0.29693999999999976,0.43586000000000014,0.010760000000000103,-0.51124,-0.4063399999999999,-0.22013999999999995,-0.49561259999999996,1.68466,0.44835999999999987,0.26376,0.7190599999999998,0.5991599999999999
2020-11-27,0.10128399999999993,0.2203839999999999,1.6670839999999996,0.3391839999999997,-0.3541159999999999,0.4609840000000003,-0.03601600000000005,-0.565016,-0.417016,-0.20411600000000002,-0.5109821,1.4903840000000002,0.4702839999999999,0.19748399999999977,0.717784,0.543784
2020-12-04,-0.0029120000000000257,0.130988,1.4742880000000007,0.2578880000000001,-0.4480120000000001,0.3526879999999999,-0.19111199999999984,-0.6553119999999999,-0.5065119999999999,-0.2501119999999999,-0.6509476999999999,1.504888,0.48328800000000016,0.12278800000000012,0.6407880000000004,0.40368800000000005
2020-12-11,0.05348200000000014,0.16908199999999995,1.4092819999999997,0.31248200000000004,-0.3613179999999997,0.3339820000000001,-0.16721799999999998,-0.593118,-0.509018,-0.2604179999999999,-0.6009144,1.3734819999999996,0.4975820000000001,0.18108200000000008,0.6249819999999998,0.2329819999999999
