date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1994-06-10,1.1878099999999998,,,,,,,,,
1994-06-17,1.27935,,,,,,,,,
1994-06-24,1.1343300000000003,,,,,,,,,
1994-07-01,1.1651499999999997,,,,,,,,,
1994-07-08,1.1862399999999997,,,,,,,,,
1994-07-15,1.2264600000000003,,,,,,,,,
1994-07-22,1.1559999999999997,,,,,,,,,
1994-07-29,1.1158400000000004,,,,,,,,,
1994-08-05,1.0613099999999998,,,,,,,,,
1994-08-12,1.0594600000000005,,,,,,,,,
1994-08-19,1.06217,,,,,,,,,
1994-08-26,1.0322399999999998,,,,,,,,,
1994-09-02,1.0575700000000001,,,,,,,,,
1994-09-09,1.10398,,,,,,,,,
1994-09-16,1.12282,,,,,,,,,
1994-09-23,1.06154,,,,,,,,,
1994-09-30,1.0126799999999996,,,,,,,,,
1994-10-07,1.05666,,,,,,,,,
1994-10-14,1.0480200000000002,,,,,,,,,
1994-10-21,1.0408799999999996,,,,,,,,,
1994-10-28,0.9862000000000002,,,,,,,,,
1994-11-04,0.9863399999999993,,,,,,,,,
1994-11-11,0.9193999999999996,,,,,,,,,
1994-11-18,0.8057799999999995,,,,,,,,,
1994-11-25,0.60013,,,,,,,,,
1994-12-02,0.35611999999999977,,,,,,,,,
1994-12-09,0.2608100000000002,,,,,,,,,
1994-12-16,0.22874000000000017,,,,,,,,,
1994-12-23,0.11411000000000016,,,,,,,,,
1994-12-30,0.1457600000000001,,,,,,,,,
1995-01-06,0.2364500000000005,,,,,,,,,
1995-01-13,0.34133999999999975,,,,,,,,,
1995-01-20,0.32231000000000076,,,,,,,,,
1995-01-27,0.3673099999999998,,,,,,,,,
1995-02-03,0.3602400000000001,,,,,,,,,
1995-02-10,0.3148099999999996,,,,,,,,,
1995-02-17,0.38007999999999953,,,,,,,,,
1995-02-24,0.44533999999999985,,,,,,,,,
1995-03-03,0.46389000000000014,,,,,,,,,
1995-03-10,0.41159999999999997,,,,,,,,,
1995-03-17,0.43111999999999995,,,,,,,,,
1995-03-24,0.44810000000000016,,,,,,,,,
1995-03-31,0.41391000000000044,,,,,,,,,
1995-04-07,0.46029999999999927,,,,,,,,,
1995-04-14,0.5151500000000002,,,,,,,,,
1995-04-21,0.5778400000000001,,,,,,,,,
1995-04-28,0.4614699999999994,,,,,,,,,
1995-05-05,0.51579,,,,,,,,,
1995-05-12,0.4797400000000005,,,,,,,,,
1995-05-19,0.4441600000000001,,,,,,,,,
1995-05-26,0.42485000000000017,,,,,,,,,
1995-06-02,0.5529499999999992,,,,,,,,,
1995-06-09,0.38126000000000015,,,,,,,,,
1995-06-16,0.45523000000000025,,,,,,,,,
1995-06-23,0.4330500000000006,,,,,,,,,
1995-06-30,0.41250999999999927,,,,,,,,,
1995-07-07,0.49336,,,,,,,,,
1995-07-14,0.4593999999999996,,,,,,,,,
1995-07-21,0.5484900000000001,,,,,,,,,
1995-07-28,0.5509599999999999,,,,,,,,,
1995-08-04,0.58392,,,,,,,,,
1995-08-11,0.5504300000000004,,,,,,,,,
1995-08-18,0.4540899999999999,,,,,,,,,
1995-08-25,0.49254,,,,,,,,,
1995-09-01,0.4464099999999993,,,,,,,,,
1995-09-08,0.4039900000000003,,,,,,,,,
