date,BRL,CAD,EUR,JPY,MXN
2008-12-02,,-20.006547679524953,2.4246032204741703,19.712361684677035,-6.841530054644808
2008-12-09,,-19.088657180713174,2.7693817687014133,32.04704352067639,-0.08991316281380878
2008-12-16,,-14.023626380059241,-2.503580731893223,28.14559345354479,9.453646929623867
2008-12-22,,-29.511910482597653,0.545779697332681,29.220896344184016,-2.823511882589585
2008-12-30,,-26.605446618505024,1.4921285653822853,31.099069161490096,-17.9704701463541
2009-01-06,,-24.795016605062198,0.25751142252861686,32.49818445896877,-18.518290049966073
2009-01-13,,-27.022474962420993,-5.099487668295008,32.11374565980281,-36.69921017990347
2009-01-20,,-24.157698422404305,-3.787752251089482,33.969833261171146,-40.63756345177665
2009-01-27,,-22.64630259734261,0.16721910905658693,37.41515517586018,-39.795852025225926
2009-02-03,,-18.32534956947367,-3.2312176878231216,37.920371746576805,-26.640330988055446
2009-02-10,,-16.802970690950886,-2.7306306956481805,30.168335659619114,-28.38923716581572
2009-02-17,,-21.431045231003672,-11.490199554294975,22.403275521001056,-29.756292804411633
2009-02-24,,-24.58824793788119,-9.567832813071066,18.22363276758199,-34.18738464878949
2009-03-03,,-30.792187947664978,-14.005373712321466,19.925061012674306,-37.46288522576021
2009-03-10,,-25.981067811862804,-8.595058742608638,14.783371338361691,-28.054231227651968
2009-03-17,,-26.699581821470755,-6.165992959838671,1.1403123094160863,-18.354843463797714
2009-03-24,,-30.629755830582088,0.5695961448173837,0.21595183273028903,-7.15821250514568
2009-03-31,,-36.70449697073129,0.08237232289950576,-5.244951505737074,-11.22968166058805
2009-04-07,,-38.58705920747522,4.2648976283609965,-9.83146735125627,4.781013529007108
2009-04-14,,-26.905399596600866,0.876237258088344,-11.028201470426863,20.55009731047905
2009-04-21,,-21.08201557518755,-6.44362995528642,0.9715017179815402,45.591326280389545
2009-04-28,,-7.499003381121824,-9.542139384116693,15.891145324424961,41.93141916298449
2009-05-05,,8.396803261102768,-4.031850353892821,10.352536543422184,37.338721559217866
2009-05-12,,14.796933736271836,1.5855549040554542,19.798387567233313,44.58769307424016
2009-05-19,,16.064349856114276,5.743910992093854,23.571016806350052,44.49841605068638
2009-05-26,,20.697404020302752,7.480069174853075,23.953012222612866,47.414907796057214
2009-06-02,,21.78053921622725,5.927657545495483,23.386855593024574,51.40585955177774
2009-06-09,,25.055405198386357,5.45316989972326,9.313887968180312,23.200713709746598
2009-06-16,,20.252268051667734,6.113655990688244,5.260484459824122,31.274400806680973
2009-06-23,,23.237798071362285,11.238429160632469,11.080396222068648,34.012453300124534
2009-06-30,,17.367388497069634,8.448412387640206,14.832054004028526,48.84469521783369
2009-07-07,,12.69967951515756,1.4544281855927763,28.652896971852908,57.70820550909032
