,IDR,PHP,THB,SGD,BRL,MXN,CNH,CLP,PLN,HUF
2022-03-21,6955.18115234375,6956.60009765625,1673.8699951171875,3355.510009765625,116155.0,,3253.68994140625,28.90999984741211,18.440000534057617,12620.0
2022-03-22,7000.82177734375,7008.93994140625,1677.8699951171875,3350.169921875,117272.0,55722.48046875,3259.860107421875,28.700000762939453,18.829999923706055,12595.0
2022-03-23,6996.115234375,7009.43017578125,1677.949951171875,3364.260009765625,117457.0,55154.6796875,3271.030029296875,28.260000228881836,18.399999618530273,12335.0
2022-03-24,7049.68505859375,7082.60986328125,1680.8900146484375,3399.699951171875,119053.0,55829.859375,3250.260009765625,29.25,18.670000076293945,11810.0
2022-03-25,7002.5322265625,7124.83984375,1676.800048828125,3413.68994140625,119081.0,55436.05078125,3212.239990234375,29.780000686645508,18.610000610351562,11700.0
2022-03-28,7049.60302734375,7134.35986328125,1684.300048828125,3431.989990234375,118738.0,55685.140625,3214.5,29.229999542236328,18.829999923706055,12030.0
2022-03-29,7011.68896484375,7115.08984375,1689.739990234375,3433.89990234375,120014.0,56111.2109375,3203.93994140625,29.190000534057617,19.68000030517578,13200.0
2022-03-30,7053.18994140625,7167.02001953125,1698.4000244140625,3442.610107421875,120260.0,55814.98828125,3266.60009765625,28.75,19.729999542236328,12640.0
2022-03-31,7071.44189453125,7203.47021484375,1695.239990234375,3408.52001953125,119999.0,56536.6796875,3252.199951171875,29.06999969482422,19.010000228881836,12145.0
2022-04-01,7078.759765625,7152.8798828125,1701.31005859375,3419.110107421875,121570.0,56609.5390625,3282.719970703125,29.549999237060547,19.389999389648438,12235.0
2022-04-04,7116.2177734375,7163.2099609375,1702.9300537109375,3416.969970703125,121280.0,56313.2109375,,29.799999237060547,19.270000457763672,12330.0
2022-04-05,7148.298828125,7156.06982421875,1701.1800537109375,3445.010009765625,118885.0,55547.2890625,,29.1299991607666,18.700000762939453,11735.0
2022-04-06,7104.2158203125,7109.259765625,,3422.949951171875,118228.0,55438.73046875,3283.429931640625,28.760000228881836,18.450000762939453,10700.0
2022-04-07,7127.3671875,6926.02978515625,1682.4100341796875,3404.22998046875,118862.0,55280.58984375,3236.699951171875,28.700000762939453,18.469999313354492,10880.0
