date,stack,A_total,B_total,D_total,A_spot,A_carry,B_spot,B_carry,D_spot,D_carry
2014-03-14,-0.001838833188831827,-0.000810944260227695,-0.005733444234871918,0.0,-0.0006722347405101456,0.00026676261039629805,-0.001526332453852224,9.297139513424458e-05,0.0,0.0
2014-03-21,0.006224031348500418,0.009479452458152788,0.005937220477696097,0.0,0.004482832670709729,0.0002568935583666649,0.00138635644910919,9.794867031483416e-05,0.0,0.0
2014-03-28,0.0035746598948544666,0.005163284788385183,0.0039720700026475006,0.0,0.0023913171231003194,0.0001903252710922723,0.000860978862801696,0.00013203863786017924,0.0,0.0
2014-04-04,-8.684106892177778e-05,-0.00029679045209825815,0.00024621662850940517,0.0,-0.000636958453888429,0.0004885632278393,-2.7099771003852965e-05,8.865392813120425e-05,0.0,0.0
2014-04-11,-0.0003794213378813062,0.0005380554783446812,-0.0025937963082145873,0.0,-2.160508803273377e-05,0.00029063282720507433,-0.0007761364852902112,0.0001276874082365644,0.0,0.0
2014-04-18,0.0007520975554645799,9.819036261066607e-06,0.0029887521493361865,0.0,-0.0004138129081326407,0.000418722426263174,0.0006026320943153873,0.0001445559430186593,0.0,0.0
2014-04-25,-0.0005307764002233316,0.001821179300626917,-0.005765464202147161,0.0,0.00046546961097671246,0.00044512003933674607,-0.001519325851556891,7.795980102010093e-05,0.0,0.0
2014-05-02,0.001983447689231482,0.00326004577677154,0.0014136992033828484,0.0,0.001363150777018647,0.00026687211136712296,0.00023395311203201362,0.00011947168881369843,0.0,0.0
2014-05-09,-0.001096247367680571,-0.0027101307436307193,0.0010352720165391549,0.0,-0.0016131789765592448,0.0002581136047438853,0.0001546874148684093,0.00010413058926637945,0.0,0.0
2014-05-16,0.006410894566824061,0.011786919632216253,0.0020697390028637376,0.0,0.005277039871353644,0.0006164199447544836,0.00039879232256843634,0.00011864242814749805,0.0,0.0
2014-05-23,-0.0025159080524751972,-0.0047788428996443895,-0.0005059464106120093,0.0,-0.0028934485715374574,0.0005040271217152624,-0.00022365407814002656,9.716747548702424e-05,0.0,0.0
2014-05-30,-0.0014635287772930886,-0.002002159820638294,-0.0018497954678957658,0.0,-0.0019067479061936462,0.000905667995874499,-0.0005580762733701213,9.562740639617986e-05,0.0,0.0
2014-06-06,0.0021729786242087107,-0.00026077803353413004,0.009213470563903103,0.0,-0.00039605874464388087,0.00026566972787681585,0.0022266396224261734,7.672801854960227e-05,0.0,0.0
2014-06-13,0.00028044772915066006,0.0037067274088486766,-0.006291663901094713,0.0,0.001583959221720474,0.00026940448270386434,-0.0016386621010084995,6.57461257348213e-05,0.0,0.0
2014-06-20,-0.0025317367039956735,-0.0009636385498476684,-0.008199669716287357,0.0,-0.0008888912569303828,0.00040707198200654857,-0.002126009236925257,7.609180785341777e-05,0.0,0.0
2014-06-27,0.0010658443526960534,0.003850194289646746,-0.003437011168509279,0.0,0.001149736437688009,0.000775360707135364,-0.0009376151526093445,7.836236048202477e-05,0.0,0.0
2014-07-04,0.0011708342511262883,0.0005702470137855445,0.003542842976934064,0.0,7.040507637959566e-05,0.00021471843051317657,0.0007863068533354994,9.940389089801657e-05,0.0,0.0
2014-07-11,0.0013431155854828959,0.0004972234033648862,0.0043780155352018115,0.0,6.554651849459796e-05,0.0001830651831878451,0.0010032536290706332,9.12502547298196e-05,0.0,0.0
2014-07-18,0.0007066500920425218,0.000777668225925063,0.0012712639163199612,0.0,3.947715154249023e-05,0.00034935696142004123,0.0002134756143214589,0.0001043403647585314,0.0,0.0
2014-07-25,0.003034650807276379,0.0013423505399259765,0.009453902149253563,0.0,0.0003657828787830232,0.0003053923911799651,0.0021655269628686967,0.00019794857444469375,0.0,0.0
2014-08-01,-6.0981727046546656e-05,0.0010788741023142882,-0.002401675112814763,0.0,0.0003976969662881797,0.0001417400848689644,-0.0007083462995185636,0.00010792752131487285,0.0,0.0
2014-08-08,0.0011431621837804545,0.0016837088058572615,0.0012052311234072946,0.0,0.0004227721638457137,0.0004190822390829171,0.00012622415275927957,0.00017508362809254404,0.0,0.0
2014-08-15,0.0009218346293674365,0.0010921742738996332,0.0015029899696704795,0.0,0.00014508060019782746,0.00040100653675198913,0.00024090864204692451,0.00013483885037069538,0.0,0.0
2014-08-22,0.004784991931647119,0.006308567368509203,0.006522832989570071,0.0,0.0027326462565432108,0.000421637427711391,0.0015357515064450765,9.49567409474411e-05,0.0,0.0
2014-08-29,3.813286153663974e-05,0.003165044598227734,-0.006177557750308909,0.0,0.0013242893836833353,0.0002582329154305316,-0.0016459383416364882,0.00010154890405926102,0.0,0.0
