date,f1,f2,f3
2010-09-10,-1.2776980466399375,0.8294249105295853,-0.8750977715751773
2010-09-17,-1.3573845893143783,0.6287549357090808,-0.9103471107279635
2010-09-24,-1.5118148229075916,0.2810712941146713,-0.8648030246355682
2010-10-01,-1.6119184842961332,0.040354372475463994,-0.6144810111372598
2010-10-08,-1.6675000123813657,-0.12476045086421708,-0.5535252764676338
2010-10-15,-1.72239863637582,-0.26263818406396483,-0.48386288498405156
2010-10-22,-1.6552362043413957,-0.09613907637713218,-0.5691106838547408
2010-10-29,-1.689169536157884,-0.04650391318272832,-0.4643195331833261
2010-11-05,-1.7969837134972937,-0.31775809812076683,-0.32753330530733576
2010-11-12,-1.668329727379083,-0.05357262315443298,-0.3936765502717958
2010-11-19,-1.6262258479983545,0.044381205976088085,-0.39261877827036573
2010-11-26,-1.444477632493732,0.30634576740988667,-0.4369316691313573
2010-12-03,-1.56094591444738,0.05717344901734734,-0.29909010217468923
2010-12-10,-1.49701759288106,0.10447220668979458,-0.20231642785570103
2010-12-17,-1.45571295301099,0.03836265842559924,-0.1922653340642505
2010-12-24,-1.4940284583346835,-0.058351854167412176,-0.11648910610075303
2010-12-31,-1.6372087356924987,-0.41538465789128864,0.08050275288735353
2011-01-07,-1.5255312778720553,-0.10856131639212524,0.02875294252263312
2011-01-14,-1.608016134524918,-0.31037412896741695,0.04902433463995964
2011-01-21,-1.633000013986501,-0.3712916553283274,-0.1628634974481357
2011-01-28,-1.6365755331140401,-0.3352997243354609,-0.2448423039470777
2011-02-04,-1.6898903279808075,-0.28287899819077894,-0.20709453525089638
2011-02-11,-1.6474088786220589,-0.23929943702865228,-0.2487863423612037
2011-02-18,-1.709890993946468,-0.3763986206377801,-0.2554892970329697
2011-02-25,-1.686405693152209,-0.4518578066999037,-0.5303643534817732
2011-03-04,-1.7649729750418386,-0.6475810711689964,-0.42530148079301244
2011-03-11,-1.7056330432597844,-0.6098857667466708,-0.4104517385656223
2011-03-18,-1.722027730642104,-0.8386981865223053,-0.4160480116252314
2011-03-25,-1.800789532872488,-0.8043349612356032,-0.3277981284402131
2011-04-01,-1.8305829118627648,-0.7966637985449404,-0.1340758026157335
2011-04-08,-1.9515280832276225,-1.0423223586499433,-0.049053437909275854
2011-04-15,-1.9446962285423048,-1.175937648037464,-0.15622980097477435
2011-04-22,-2.0189452432582313,-1.3284528102330642,-0.125504087486622
2011-04-29,-2.1223464958022187,-1.5607291182554976,-0.062227558166203345
2011-05-06,-2.0071207168522194,-1.3279838933312016,-0.11745352274884235
2011-05-13,-1.902536571436334,-1.0861195139374213,-0.12552199045485005
2011-05-20,-1.8868374684787683,-1.1218639082040145,-0.199222392400309
2011-05-27,-1.917773047592102,-1.2801421161673947,-0.2030134426049783
2011-06-03,-1.9887280528440443,-1.5875422741398157,-0.11974168416236051
2011-06-10,-1.927789669776706,-1.4313957165208282,-0.1700409051581558
2011-06-17,-1.8875264047658502,-1.3872265803760506,-0.1934578831724426
