date,Fundamental,Momentum,Technical
2016-04-29,0.5897770712690664,0.3268895953976003,0.08333333333333333
2016-05-06,0.5814757310265795,0.3351909356400871,0.08333333333333333
2016-05-13,0.4951250437215809,0.4215416229450856,0.08333333333333333
2016-05-20,0.5032697066101096,0.4133969600565571,0.08333333333333333
2016-05-27,0.592941389947378,0.32372527671928863,0.08333333333333333
2016-06-03,0.5882561646265745,0.3284105020400922,0.08333333333333333
2016-06-10,0.5880055224433446,0.32866114422332215,0.08333333333333333
2016-06-17,0.5074603546597922,0.40920631200687446,0.08333333333333333
2016-06-24,0.5175244192727572,0.3991422473939096,0.08333333333333333
2016-07-01,0.5698590592630328,0.34680760740363387,0.08333333333333333
2016-07-08,0.5781278095443594,0.3385388571223073,0.08333333333333333
2016-07-15,0.5166193517861367,0.40004731488052997,0.08333333333333333
2016-07-22,0.4968784835540437,0.3862180813501812,0.11690343509577505
2016-07-29,0.5771354221612689,0.33953124450539784,0.08333333333333333
2016-08-05,0.5575394759673782,0.3591271906992885,0.08333333333333333
2016-08-12,0.5781278095443594,0.33853885712230725,0.08333333333333333
2016-08-19,0.5593055702730387,0.35736109639362784,0.08333333333333333
2016-08-26,0.5735522560601135,0.3431144106065532,0.08333333333333333
2016-09-02,0.5951199338296113,0.32154673283705537,0.08333333333333333
2016-09-09,0.6193991760545409,0.2972674906121258,0.08333333333333333
2016-09-16,0.6208346698029154,0.29583199686375133,0.08333333333333333
2016-09-23,0.6202974180565505,0.29636924861011626,0.08333333333333333
2016-09-30,0.6062937839801711,0.2831574078991351,0.11054880812069381
2016-10-07,0.48996583010502565,0.3553053832199755,0.1547287866749988
2016-10-14,0.5112895280698626,0.34128085088923144,0.147429621040906
2016-10-21,0.5128113823518926,0.34367013368522165,0.14351848396288575
2016-10-28,0.5099487048814891,0.3486303087421468,0.14142098637636413
2016-11-04,0.5135830274198915,0.3873519458589746,0.09906502672113401
2016-11-11,0.49976074564140976,0.4169059210252569,0.08333333333333333
2016-11-18,0.502208463526598,0.41445820314006865,0.08333333333333333
2016-11-25,0.4891233832056116,0.427543283461055,0.08333333333333333
2016-12-02,0.47209182623018325,0.44457484043648343,0.08333333333333333
2016-12-09,0.4676222041322634,0.4490444625344032,0.08333333333333333
2016-12-16,0.4797125079650662,0.4369541587016005,0.08333333333333333
2016-12-23,0.49513065010902907,0.42153601655763756,0.08333333333333333
2016-12-30,0.4818162807497814,0.43485038591688524,0.08333333333333333
2017-01-06,0.509578436858795,0.4070882298078717,0.08333333333333333
2017-01-13,0.5005662619286324,0.4161004047380343,0.08333333333333333
2017-01-20,0.4919511285207983,0.4247155381458683,0.08333333333333333
2017-01-27,0.4938090147871013,0.42285765187956526,0.08333333333333333
2017-02-03,0.48282770955869697,0.43383895710796955,0.08333333333333333
2017-02-10,0.484842515437748,0.42628266355126626,0.08887482101098572
2017-02-17,0.4614250328353625,0.4166809009960155,0.12189406616862199
2017-02-24,0.42913278688846646,0.4089078090023156,0.16195940410921783
2017-03-03,0.47308413982454095,0.4221190498629824,0.10479681031247673
2017-03-10,0.47240228701877346,0.42351517910036834,0.10408253388085813
