date,carry_vol,ca_yoy,esi_chg,rr_sent,vrp_pos,vrp_neg,rrterm_pos,rrterm_neg,mom,pi_pos,pi_flow,boll,value_slow
2015-03-06,0.263826512872574,0.21717170116949588,0.12500000000000003,0.14519811970072288,0.05234442288638036,0.0,0.03897383660562015,0.0,0.040396239401445704,0.03313087919522552,0.032922475854314785,0.0,0.05103581231422082
2015-03-13,0.26546606163175684,0.2163029400606419,0.12500000000000003,0.14747456986108112,0.0516915106804865,0.0,0.03848770088710136,0.0,0.03848770088710136,0.036088810420624846,0.03700673506813991,0.0,0.04399397050306621
2015-03-20,0.2651196574384556,0.219720888428396,0.12500000000000003,0.14321555546699924,0.04455805106542887,0.0,0.03559039298936771,0.0,0.040914939972029024,0.038802204738532374,0.04083882294610099,0.0,0.046239486954690316
2015-03-27,0.2612499722778691,0.22031773270699667,0.12499999999999997,0.1438918028788642,0.05037814101030456,0.0,0.04408087338401649,0.0,0.032917535319233096,0.03247700154984576,0.03455722519909352,0.0,0.05512971567377645
2015-04-03,0.25791561735815594,0.21609303086183962,0.125,0.1530726950454726,0.049843356509308476,0.0,0.042968410783886614,0.0,0.030937255764398368,0.03164221287380803,0.03357476120763789,0.0,0.05895265959549242
2015-04-10,0.2636029909915664,0.21113586687127708,0.125,0.14912926563820791,0.04853910413267406,0.0,0.046294521282608206,0.0,0.028057285625823155,0.033798075785945,0.035690933571424464,0.0,0.05875195610047367
2015-04-17,0.25607700742057216,0.21192182907338786,0.125,0.15388137451639725,0.043599767298792,0.0,0.04082271205683072,0.0,0.023882675080866955,0.040117606792063276,0.04088029830081976,0.0,0.06381672946027005
2015-04-24,0.2492950665997738,0.21814986600350864,0.125,0.15985976580499403,0.03485976580499403,0.0,0.03685991630200188,0.0,0.025144749105241594,0.04099193023788898,0.0417766760862727,0.0,0.06806226405532438
2015-05-01,0.2455356003658464,0.2141906451879667,0.125,0.15833963414374475,0.031344955177879684,0.0,0.03647412966153271,0.0,0.02507596414230374,0.044014289882283945,0.045651751425472946,0.0,0.07437303001296904
2015-05-08,0.25167846649761655,0.21316136519766551,0.12500000000000003,0.1606639826851398,0.029672433594036287,0.0,0.03594929454662089,0.0,0.022539637057008337,0.04121642558297634,0.04257063088836859,0.0,0.0775477639505679
2015-05-15,0.24517362975417917,0.2101350533680209,0.125,0.15945942636324656,0.023455575927924126,0.0,0.0347490013747024,0.0,0.027509626088306073,0.04878208459849138,0.05015652453515167,0.0,0.07557907798997772
2015-05-22,0.2517810597802379,0.21108229001244794,0.125,0.15691486262366267,0.02195976786031835,0.0,0.04040597286298576,0.0,0.02078858024110137,0.05078883237096541,0.05012898638084914,0.0,0.07114964786743143
2015-05-29,0.2574106355035411,0.20594973349561466,0.125,0.1614273800730266,0.01879190241862483,0.0,0.03816201721936119,0.0,0.01445530955278833,0.05650897382204491,0.05585744521038327,0.0,0.06643660270461514
2015-06-05,0.25847204391631606,0.2101949216487124,0.125,0.1587939855873226,0.01760695047406723,0.0,0.03634983323678396,0.0,0.01590305204109298,0.05664353637047303,0.05543558705572328,0.0,0.06560008966950853
2015-06-12,0.25367360880176365,0.21199454855945324,0.12500000000000003,0.15828730314654324,0.023776645104673713,0.0,0.03692373122137565,0.0,0.016224063718483242,0.05383618772855828,0.05264634952726551,0.0,0.06763756219188356
2015-06-19,0.2508741783126825,0.21087416164887451,0.125,0.15828672715379827,0.022377631700032447,0.0,0.03944057587130718,0.0,0.020699309322530012,0.05439469695705073,0.04940933379387487,0.0,0.0686433852398495
2015-06-26,0.2599919677155162,0.20448907189859938,0.12499999999999997,0.15707453778364536,0.024543994130093855,0.0,0.04323089875186986,0.0,0.013108724137663764,0.05479473481821933,0.04898710539528821,0.0,0.0687789653691039
2015-07-03,0.2565270098466711,0.20177113021093246,0.12499999999999997,0.1535069270268536,0.01975727615722528,0.0,0.04007904591894271,0.0,0.019475029354979204,0.06448237557022597,0.056911763896888505,0.0,0.062489442017281065
2015-07-10,0.25906481125672265,0.19216620284518438,0.125,0.15711133203753835,0.02568906563003068,0.0,0.044153081551615236,0.0,0.018731610355230705,0.05899412589550736,0.05181652980952773,0.0,0.06727324061864283
2015-07-17,0.26075491223708536,0.18831755023725863,0.12500000000000003,0.16069754889919521,0.023450944532318,0.0,0.04559905881284055,0.0,0.021105850079086202,0.06031086831845625,0.05332179220908683,0.0,0.06144147467467313
2015-07-24,0.26096786741881295,0.18890999011633341,0.125,0.16624867887986458,0.018587367643395775,0.0,0.04404951510010231,0.0,0.026480633354974803,0.0568979592986793,0.05006833255959856,0.0,0.06278965562823831
2015-07-31,0.2571739619503799,0.19108698097518995,0.125,0.1682298296604626,0.01689441618914631,0.0,0.04124225128526892,0.0,0.025838518877517883,0.05974187567333048,0.05382319872963772,0.0,0.06096896665906622
2015-08-07,0.2548604533190981,0.18377405132331273,0.125,0.1621693605206721,0.020675456789623854,0.0,0.04808786017361952,0.0,0.02764471188724987,0.06027498741219541,0.05465043759364183,0.0,0.06286268098058666
2015-08-14,0.25731188453177267,0.185704890843229,0.125,0.16464401034659853,0.01957423010863303,0.0,0.0460861620279208,0.0,0.024529731401957848,0.06255353084083255,0.05617019965075605,0.0,0.05842536024829958
2015-08-21,0.26314446413397985,0.19407223206698992,0.125,0.16975466721943544,0.01940231237836796,0.0,0.04449596972105718,0.0,0.025611052339445706,0.055480514009589144,0.048557094972677586,0.0,0.0544816931584572
2015-08-28,0.2557833519633023,0.1908889510841732,0.12499999999999997,0.1700033967782466,0.02262601716475383,0.0,0.049230235149684144,0.0,0.020885554305926615,0.05580942359975761,0.048160684751672116,0.0,0.06161238520248348
2015-09-04,0.2665025500885953,0.1927322039385113,0.125,0.1704173305479165,0.021002233779383345,0.0,0.04567985847015878,0.0,0.028353015602167523,0.05078890402392897,0.04297538909834863,0.0,0.056548514450989636
2015-09-11,0.25964357171406693,0.19714863088074527,0.12499999999999997,0.17072800548779632,0.017529068770321926,0.0,0.04521991653793192,0.0,0.028707025667338806,0.05270431080708587,0.044635196425374224,0.0,0.058684273709338604
2015-09-18,0.2574906641192892,0.19794719444700165,0.125,0.17088198095959822,0.016239128092442066,0.0,0.03763353494438954,0.0,0.023714282293724923,0.060951108384237056,0.05276385416602204,0.0,0.05737825259329528
2015-09-25,0.26436144573722364,0.1944245437404184,0.125,0.17085606394662323,0.018957255486313513,0.0,0.04022012312636785,0.0,0.02946059974224397,0.05775839233071023,0.04962147580004532,0.0,0.049340100090053796
2015-10-02,0.25679994247643956,0.19163219314086666,0.125,0.17527923731508618,0.021722583111857627,0.0,0.04173664845087252,0.0,0.03148554181381611,0.05551729911856956,0.04825302196244536,0.0,0.052573532610046415
2015-10-09,0.25958143784260734,0.1930439732375869,0.125,0.17396153055841124,0.021342205628025416,0.0,0.045948513293278245,0.0,0.024355222893158418,0.05234137278533337,0.044617351048709,0.0,0.05980839271289003
2015-10-16,0.25381176853757803,0.19642286776889056,0.125,0.17812858935791157,0.017793065303828872,0.0,0.04059826167915883,0.0,0.021050950500304585,0.05324410910770589,0.045534798618631904,0.0,0.06841558912598987
2015-10-23,0.2488285020468814,0.1935890215798711,0.125,0.17931882245922678,0.02301645019458762,0.0,0.04004862333858246,0.0,0.020254476171237105,0.05442491922843342,0.046884130500919906,0.0,0.06863505448026026
2015-10-30,0.2512769719884591,0.19840586595964632,0.125,0.17338650328529742,0.026435553014406397,0.0,0.0415415833083529,0.0,0.012037617890488628,0.05534022458940248,0.04760721040314723,0.0,0.06896846956079954
2015-11-06,0.2544978863399008,0.1953533636653236,0.125,0.17031233592003894,0.031003177208447693,0.0,0.0460277938556185,0.0,0.011208840990746474,0.05520019368175325,0.04714828572312612,0.0,0.06424812261504467
2015-11-13,0.2652508022345457,0.1896752404086765,0.12499999999999997,0.1698124324929032,0.031005358697792498,0.0,0.052321542802524844,0.0,0.006540192850315607,0.054128806552069475,0.04595051211937256,0.0,0.06031511184179946
2015-11-20,0.25335922720753545,0.18781408991007054,0.125,0.17370367840853296,0.036869139729824016,0.0,0.04278640906917849,0.0,0.007737967597617389,0.05950518944828639,0.05136607530447226,0.0,0.06185822332448251
2015-11-27,0.251345231311265,0.19179248827175932,0.125,0.17544467645699305,0.03199500312318541,0.0,0.039468288524221413,0.0,0.0030360221941708805,0.06269641805232715,0.054344413178333884,0.0,0.06487745888774382
2015-12-04,0.26073934769528767,0.1898124813319842,0.12499999999999997,0.17636083426308183,0.03595258398415729,0.0,0.043045270620487644,0.0,0.0,0.05832168512430055,0.049575031587257457,0.0,0.06119276539344321
2015-12-11,0.26671766659102747,0.18927908448950173,0.125,0.17763799044809592,0.03188647498298119,0.0,0.04099689640669009,0.0,0.0,0.05832212424637379,0.047753376082923814,0.0,0.06240638675240601
2015-12-18,0.2645830545660619,0.18478644819700202,0.125,0.17966189549440187,0.036359921556544085,0.0,0.04294863217417288,0.0,0.0,0.05672659256870335,0.04653541772237459,0.0,0.06339803772073928
2015-12-25,0.26245230863483876,0.18065259267588582,0.12499999999999997,0.1844907025156021,0.026387005148049328,0.0,0.04461802688670159,0.0,0.0,0.061040569796294755,0.05102247815438364,0.0,0.0643363161882439
2016-01-01,0.26183975719572744,0.18039879443564052,0.12500000000000003,0.17850481855749897,0.03196084294363876,0.0,0.04569216806016504,0.0,0.0,0.061189853104568384,0.05106593524290162,0.0,0.06434783045985935
2016-01-08,0.26715355300189336,0.17468242905919015,0.125,0.17420699911604,0.0311406612763345,0.0,0.05324815363281624,0.0,0.0,0.06334175967726163,0.05602902783673226,0.0,0.05519741639973182
2016-01-15,0.26629370966934207,0.17863490316879707,0.125,0.17225542129409432,0.032842517799395565,0.0,0.05363490316879707,0.0,0.0,0.06343117897320312,0.056162679609337414,0.0,0.05174468631703329
2016-01-22,0.26265428370717625,0.17759767811186425,0.12500000000000003,0.17191144264031136,0.037434383521056526,0.0,0.05236075163388286,0.0,0.0,0.06360550987281173,0.05726474006139942,0.0,0.05217121045149775
2016-01-29,0.2632281519484372,0.17308135385050288,0.125,0.17432127415037257,0.041101061791977145,0.0,0.047851738980156634,0.0,0.0,0.07032207076256973,0.062248213709375395,0.0,0.04284613480660857
2016-02-05,0.2538440883404569,0.17500956528578382,0.125,0.17709329717269148,0.044322713677765,0.0,0.05070414258141971,0.0,0.0,0.06921049490760077,0.06157826138094841,0.0,0.04323743665333391
2016-02-12,0.25447230456835035,0.16449376917938593,0.125,0.17938082858968407,0.050484766209578494,0.0,0.05134600105149656,0.0,0.003526961733569252,0.07055173500502235,0.06334143481389959,0.0,0.03740219884901346
2016-02-19,0.25809682375482673,0.1566234234563919,0.12500000000000003,0.18025149079362054,0.0498019197074247,0.0,0.050637255421367135,0.0,0.004256234351992366,0.07594811860901347,0.06895464718317479,0.0,0.030430086722188405
2016-02-26,0.2618050719607976,0.14926500144820937,0.125,0.18200533833048227,0.052516119561754546,0.0,0.04682719577724613,0.0,0.006579027505894084,0.07957932858686202,0.07250621683673907,0.0,0.02391669999201496
2016-03-04,0.2588740662628949,0.1514452063330654,0.125,0.18145476656319615,0.056838030423095647,0.0,0.05361861399993986,0.0,0.004100923300924635,0.07237189874836167,0.06939137140357694,0.0,0.026905122964944798
2016-03-11,0.25844719339908395,0.15776482865210714,0.12499999999999997,0.17690700453129518,0.05558668660214115,0.0,0.05723079986783829,0.0,7.829110789033939e-05,0.07227462426701087,0.0667642228045781,0.0,0.029946348768054912
