date,BASE (top3/5),+stress gate,"+eligibility (CNH,SGD)",+elig +stress,top4/6 +elig +stress
2016-02-05,0.002693808883903125,0.003198831405730326,0.0010142806531840858,0.001439257622488848,-0.0028098727570228447
2016-02-12,0.0075082939626707175,0.004450199465294486,0.004201126283796852,0.0029789583568633855,0.0037510983438418938
2016-02-19,0.0021542997607252317,0.0012768809746057591,0.0017829226662199374,0.0012625849808180056,4.5947406820931996e-05
2016-02-26,-0.005770227166814663,-0.006839576556201432,-0.0017664461311131265,-0.0025014812415702827,-0.0026299781705770055
2016-03-04,-0.002105815009502781,-0.0024834759271137514,-0.0009026546751887115,-0.0012771263198674502,-0.0024631495976684768
2016-03-11,-0.003784119322963972,-0.004450797556320811,-0.0017990363747916933,-0.0025442866885949838,-0.002672639854057392
2016-03-18,-0.0012462344272854001,-0.0014648999634005813,-0.00023007351365651166,-0.00032517026999235796,0.002994320704262986
2016-03-25,-0.003105201871213144,-0.0036392129454562074,-0.0006773922106800542,-0.0009561462735725951,-0.0010185659713961457
2016-04-01,-0.0012607694511295076,-0.0014774700297787392,-0.00039119608126872164,-0.000552652715611822,-0.0005888230738289647
2016-04-08,0.001396622223606262,0.0016254372744364668,0.001931373077721405,0.0027224833462326167,0.0009014263382982284
2016-04-15,0.005323731151463365,0.006203547757399702,0.003930722167890197,0.005550762779227194,0.005915567695488086
2016-04-22,-0.010496785288296902,-0.012446217812211741,-0.004667188016784577,-0.00675536739564596,-0.010360622004550388
2016-04-29,0.011463323437873128,0.013606797971554868,0.008016223942632484,0.011532738419991617,0.012418861940918735
2016-05-06,0.0016997477764798957,0.001999252731386465,0.003772014191647344,0.005365579589823278,0.0016527201745044546
2016-05-13,0.0,0.0,0.0018737093770917765,0.0026602356750533725,0.0
2016-05-20,0.0,0.0,0.001142990869683099,0.001625948353814718,0.006063627083701887
2016-05-27,-0.012468316659015493,-0.01467772126945021,-0.006572531707582845,-0.009351617384413001,-0.014797842842536279
2016-06-03,0.0012223605294585922,0.001422516555026626,0.002377654973306361,0.0033515394792273546,0.003278744370948405
2016-06-10,0.003572135355856237,0.004159280623129748,0.0029174813304655603,0.004110473832452567,0.00414129652890934
2016-06-17,0.002805959398302082,0.0016322274241209224,0.0018045404368791597,0.0012701157642986342,0.0010751432457167072
2016-06-24,0.011413972709674917,0.006646247428199538,0.002989653910284336,0.0021050518443771525,0.0012182644153457083
2016-07-01,0.0006732185683870701,0.000398085233181614,0.0007347486078031002,0.0005178785986053667,0.0005823777233417459
2016-07-08,-0.002880223192577448,-0.0034076708106613677,-0.0009120542971265005,-0.0012872845849450493,-0.0008615176302668366
2016-07-15,0.008461705521473501,0.010060657151658704,-0.0034728813340808855,-0.0049190214526374796,-0.002222760920884685
2016-07-22,0.00541102971830195,0.006395248630844002,0.0028688424966637946,0.004049266059257076,0.006729935823166134
2016-07-29,-0.0014904077141636549,-0.001757421949164887,0.0007577046800749619,0.0010692345762304144,0.0010490030443848903
2016-08-05,-0.0017326568820165,-0.0020454780148125066,-0.001478681138950609,-0.0020882346012827133,-0.001702740491994744
2016-08-12,-0.002086218753841704,-0.002575832140732144,-0.0013989970482941089,-0.0020901033073507077,-0.002091904775005648
2016-08-19,0.0014287787738358306,0.0017642977257214321,0.0009584465854231499,0.0014302444251976178,0.0015774305621920625
2016-08-26,0.001711306875096791,0.002112940416006964,0.00024357614768894545,0.0003638600673937889,0.0024136755231826124
2016-09-02,-0.00537523072188731,-0.006621772698925086,-0.002768280957002909,-0.004135403920804748,-0.004187690035850877
2016-09-09,0.002418769901485677,0.002910746052941877,0.0004789246976586615,0.0007078915175989587,0.0023895628162865436
2016-09-16,-0.00537213525508214,-0.006455195865126712,-0.003124893142728816,-0.00461816006065262,-0.00465561828332586
2016-09-23,0.004080324023265118,0.004766300114800558,0.0029269145341871963,0.0042925959058595815,0.004332042155568551
2016-09-30,0.005154297705643567,0.005923188063077619,0.00123206105467795,0.0017936152791211135,0.0017953381862889884
2016-10-07,0.01193451647682196,0.012971596281942367,0.012794364694189413,0.013366185131455335,0.013099431700392045
2016-10-14,0.004000374557547023,0.004330443423387905,0.007228413213259537,0.007530756615985958,0.007365306430149548
2016-10-21,0.00085063588731391,0.0009387539680795315,0.0010499473632129268,0.001119781160067004,0.0010549565983576864
2016-10-28,-0.006975841378408586,-0.007713352158240706,-0.00817861712033812,-0.00872398995575236,-0.007973112846389298
2016-11-04,-0.0048529679016988524,-0.005383221064311103,-0.01262679519478543,-0.013493656184528935,-0.012784102206369316
2016-11-11,0.006014750963565301,0.006668529289782403,0.013879137928303052,0.01477136071757702,0.011123400172636919
2016-11-18,-0.008221580093347338,-0.00910352566521145,-0.010341260254112179,-0.01095263621023939,-0.0070752453099335345
2016-11-25,0.003997837387631836,0.004416453886974177,0.004893347293702862,0.005171290536654066,0.006871097052354524
2016-12-02,0.010858463501063662,0.011996808364516552,0.015812019133980584,0.016702993955178446,0.01633891303061801
2016-12-09,0.011218722945106188,0.01234525524325704,0.010592546297939945,0.011131543109420734,0.010788457029246055
2016-12-16,0.006173729340810565,0.006757847819925506,0.008608054221305962,0.009059211360325099,0.004433370461315941
2016-12-23,-0.004665991068117219,-0.005004205531987816,-0.003860980030377994,-0.003995391165643985,-0.0027847748802376435
2016-12-30,0.008120418567583724,0.00870576184730185,-0.0019098324915518845,-0.0019762247023306875,0.0024073309401963046
2017-01-06,-0.010219456947300073,-0.010965381846275147,-0.015010736721868341,-0.015559893498661737,-0.01012848664288791
2017-01-13,0.0001660739062726691,0.00017769997146297435,-0.0001126949456597393,-0.00011647117685027495,-0.00011330138880742078
2017-01-20,0.0005816071156156251,0.0006209146893914986,-0.0003302923008867926,-0.0003409801045088846,-0.0015617520046426253
2017-01-27,-0.006986722243723466,-0.00734127962181125,-0.005146437511881162,-0.005223506717660025,-0.005057515901530522
2017-02-03,0.004265724038850403,0.004495392013601456,0.00658169422306319,0.006692394672054003,0.005350382613069302
